"gender","event","medal","athlete","abb","year"
"Women","200 m Medley SM6-7","Gold","COOPER Priya","AUS",1992
"Women","200 m Medley SM6-7","Silver","GUERCHOUCHE Hadda","FRA",1992
"Women","200 m Medley SM6-7","Bronze","HAGMAN Lena-Marie","SWE",1992
"Women","200 m Medley SM8","Gold","SIEGERS Britta","GER",1992
"Women","200 m Medley SM8","Silver","HAKONARDOTTIR Kristin","ISL",1992
"Women","200 m Medley SM8","Bronze","KOPP Heidi","GER",1992
"Women","200 m Medley SM9","Gold","MUCZ Joanne","CAN",1992
"Women","200 m Medley SM9","Silver","BARNES Kelly","AUS",1992
"Women","200 m Medley SM9","Bronze","LOBENSTEIN Beate","GER",1992
"Women","200 m Medley SM10","Gold","BAILEY Sarah","GBR",1992
"Women","200 m Medley SM10","Silver","HENGST Claudia","GER",1992
"Women","200 m Medley SM10","Bronze","YOUNG Judith","AUS",1992
"Women","200 m Medley B1","Gold","BURTON Janice","GBR",1992
"Women","200 m Medley B1","Silver","CROSS Tracey","AUS",1992
"Women","200 m Medley B1","Bronze","BYLES Louise","GBR",1992
"Women","200 m Medley B2","Gold","ZORN Trischa","USA",1992
"Women","200 m Medley B2","Silver","TJERNBERG Gabriella","SWE",1992
"Women","200 m Medley B2","Bronze","MELNIKOVA Olga","EUN",1992
"Women","200 m Medley B3","Gold","HOPF Yvonne","GER",1992
"Women","200 m Medley B3","Silver","SCHETTER Heidi","USA",1992
"Women","200 m Medley B3","Bronze","SVERRISDOTTIR Rut","ISL",1992
"Women","400 m Medley B1-3","Gold","ZORN Trischa","USA",1992
"Women","400 m Medley B1-3","Silver","SCHETTER Heidi","USA",1992
"Women","400 m Medley B1-3","Bronze","JONES Tracey","GBR",1992
"Men","4x50 m Freestyle S1-6","Gold","VIAL Roger","ESP",1992
"Men","4x50 m Freestyle S1-6","Gold","IGLESIAS Jesus","ESP",1992
"Men","4x50 m Freestyle S1-6","Gold","FUERTES Juan","ESP",1992
"Men","4x50 m Freestyle S1-6","Gold","TORRES Javier","ESP",1992
"Men","4x50 m Freestyle S1-6","Silver","PINARD Pascal","FRA",1992
"Men","4x50 m Freestyle S1-6","Silver","LE GLOANIC Thierry","FRA",1992
"Men","4x50 m Freestyle S1-6","Silver","FOPPOLO David","FRA",1992
"Men","4x50 m Freestyle S1-6","Silver","LINDMANN Eric","FRA",1992
"Men","4x50 m Freestyle S1-6","Bronze","WALSH Kevin","GBR",1992
"Men","4x50 m Freestyle S1-6","Bronze","MCQUEEN William","GBR",1992
"Men","4x50 m Freestyle S1-6","Bronze","STUBBS Andrew","GBR",1992
"Men","4x50 m Freestyle S1-6","Bronze","BUTLER Mark","GBR",1992
"Men","4x100 m Freestyle S7-10","Gold","WENING Jason","USA",1992
"Men","4x100 m Freestyle S7-10","Gold","DOYLE Michael","USA",1992
"Men","4x100 m Freestyle S7-10","Gold","KELLER Donnie","USA",1992
"Men","4x100 m Freestyle S7-10","Gold","WHITLOCK Mark","USA",1992
"Men","4x100 m Freestyle S7-10","Silver","KIMMIG Holger","GER",1992
"Men","4x100 m Freestyle S7-10","Silver","WOELK Holger","GER",1992
"Men","4x100 m Freestyle S7-10","Silver","HAHNENGRESS Jochen","GER",1992
"Men","4x100 m Freestyle S7-10","Silver","PATZELT Raimund","GER",1992
"Men","4x100 m Freestyle S7-10","Bronze","BUDIN Hanoch","ISR",1992
"Men","4x100 m Freestyle S7-10","Bronze","AYGER Shalom","ISR",1992
"Men","4x100 m Freestyle S7-10","Bronze","PINARD Shlomo","ISR",1992
"Men","4x100 m Freestyle S7-10","Bronze","SHEMESH Eran","ISR",1992
"Men","4x50 m Medley S1-6","Gold","PINARD Pascal","FRA",1992
"Men","4x50 m Medley S1-6","Gold","LE GLOANIC Thierry","FRA",1992
"Men","4x50 m Medley S1-6","Gold","FOPPOLO David","FRA",1992
"Men","4x50 m Medley S1-6","Gold","LINDMANN Eric","FRA",1992
"Men","4x50 m Medley S1-6","Silver","IGLESIAS Jesus","ESP",1992
"Men","4x50 m Medley S1-6","Silver","CASTANE Juan","ESP",1992
"Men","4x50 m Medley S1-6","Silver","FUERTES Juan","ESP",1992
"Men","4x50 m Medley S1-6","Silver","TORRES Javier","ESP",1992
"Men","4x50 m Medley S1-6","Bronze","BUTLER Daniel","USA",1992
"Men","4x50 m Medley S1-6","Bronze","SULLIVAN Kevin","USA",1992
"Men","4x50 m Medley S1-6","Bronze","BURNS Gregory","USA",1992
"Men","4x50 m Medley S1-6","Bronze","BOGUE Gary","USA",1992
"Men","4x100 m Medley S7-10","Gold","JAEHRIG Geert","GER",1992
"Men","4x100 m Medley S7-10","Gold","SCHMIDT Detlef","GER",1992
"Men","4x100 m Medley S7-10","Gold","WOELK Holger","GER",1992
"Men","4x100 m Medley S7-10","Gold","HAHNENGRESS Jochen","GER",1992
"Men","4x100 m Medley S7-10","Silver","STURKENBOOM Rutger","NED",1992
"Men","4x100 m Medley S7-10","Silver","DE GROOT Alwin","NED",1992
"Men","4x100 m Medley S7-10","Silver","STOKKEL Johannes","NED",1992
"Men","4x100 m Medley S7-10","Silver","VAN BUITEN Andre","NED",1992
"Men","4x100 m Medley S7-10","Bronze","WENING Jason","USA",1992
"Men","4x100 m Medley S7-10","Bronze","DOYLE Michael","USA",1992
"Men","4x100 m Medley S7-10","Bronze","KELLER Donnie","USA",1992
"Men","4x100 m Medley S7-10","Bronze","WHITLOCK Mark","USA",1992
"Women","4x50 m Freestyle S1-6","Gold","BARRELL Tracy","AUS",1992
"Women","4x50 m Freestyle S1-6","Gold","HUGGETT Catherine","AUS",1992
"Women","4x50 m Freestyle S1-6","Gold","CURRIE Anne","AUS",1992
"Women","4x50 m Freestyle S1-6","Gold","YAXLEY Sandra","AUS",1992
"Women","4x50 m Freestyle S1-6","Silver","HOKKANEN Outi","SWE",1992
"Women","4x50 m Freestyle S1-6","Silver","HAGMAN Lena-Marie","SWE",1992
"Women","4x50 m Freestyle S1-6","Silver","NILSSON Pernilla","SWE",1992
"Women","4x50 m Freestyle S1-6","Silver","OSTERSTROM Anne-Lie","SWE",1992
"Women","4x50 m Freestyle S1-6","Bronze","D'URZO Corinne","FRA",1992
"Women","4x50 m Freestyle S1-6","Bronze","CHOUACHI Aicha","FRA",1992
"Women","4x50 m Freestyle S1-6","Bronze","LEQUIEN Anne Cecile","FRA",1992
"Women","4x50 m Freestyle S1-6","Bronze","PAIROUX Genevieve","FRA",1992
"Women","4x100 m Freestyle S7-10","Gold","SAENZ Carolina","USA",1992
"Women","4x100 m Freestyle S7-10","Gold","STRAUB Diane","USA",1992
"Women","4x100 m Freestyle S7-10","Gold","NORRIS Karen","USA",1992
"Women","4x100 m Freestyle S7-10","Gold","SMITH Brenda","USA",1992
"Women","4x100 m Freestyle S7-10","Silver","GULL Beverley","GBR",1992
"Women","4x100 m Freestyle S7-10","Silver","BISHOP Clare","GBR",1992
"Women","4x100 m Freestyle S7-10","Silver","BAILEY Sarah","GBR",1992
"Women","4x100 m Freestyle S7-10","Silver","SIMS Victoria","GBR",1992
"Women","4x100 m Freestyle S7-10","Bronze","SIEGERS Britta","GER",1992
"Women","4x100 m Freestyle S7-10","Bronze","SJOBERG Daniela","GER",1992
"Women","4x100 m Freestyle S7-10","Bronze","LOBENSTEIN Beate","GER",1992
"Women","4x100 m Freestyle S7-10","Bronze","HENGST Claudia","GER",1992
"Women","4x100 m Freestyle B1-3","Gold","BROWN Donna","USA",1992
"Women","4x100 m Freestyle B1-3","Gold","ZORN Trischa","USA",1992
"Women","4x100 m Freestyle B1-3","Gold","SCHETTER Heidi","USA",1992
"Women","4x100 m Freestyle B1-3","Gold","SCOTT Elizabeth","USA",1992
"Women","4x100 m Freestyle B1-3","Silver","DANBY Janice","GBR",1992
"Women","4x100 m Freestyle B1-3","Silver","BURTON Janice","GBR",1992
"Women","4x100 m Freestyle B1-3","Silver","JONES Judith","GBR",1992
"Women","4x100 m Freestyle B1-3","Silver","MILLAR Heather","GBR",1992
"Women","4x100 m Freestyle B1-3","Bronze","ROSS Marie Claire","CAN",1992
"Women","4x100 m Freestyle B1-3","Bronze","IRVINE Nancy","CAN",1992
"Women","4x100 m Freestyle B1-3","Bronze","QUALTROUGH Carla","CAN",1992
"Women","4x100 m Freestyle B1-3","Bronze","WEICKER Yvette","CAN",1992
"Women","4x50 m Medley S1-6","Gold","HOKKANEN Outi","SWE",1992
"Women","4x50 m Medley S1-6","Gold","FREIJ Marie-Louise","SWE",1992
"Women","4x50 m Medley S1-6","Gold","HAGMAN Lena-Marie","SWE",1992
"Women","4x50 m Medley S1-6","Gold","OSTERSTROM Anne-Lie","SWE",1992
"Women","4x50 m Medley S1-6","Silver","D'URZO Corinne","FRA",1992
"Women","4x50 m Medley S1-6","Silver","CHOUACHI Aicha","FRA",1992
"Women","4x50 m Medley S1-6","Silver","LEQUIEN Anne Cecile","FRA",1992
"Women","4x50 m Medley S1-6","Silver","PAIROUX Genevieve","FRA",1992
"Women","4x50 m Medley S1-6","Bronze","FLOOD Tara","GBR",1992
"Women","4x50 m Medley S1-6","Bronze","MCELENY Margaret","GBR",1992
"Women","4x50 m Medley S1-6","Bronze","STIDEVER Jane","GBR",1992
"Women","4x50 m Medley S1-6","Bronze","ESLING Jeanette","GBR",1992
"Women","4x100 m Medley S7-10","Gold","SIEGERS Britta","GER",1992
"Women","4x100 m Medley S7-10","Gold","SJOBERG Daniela","GER",1992
"Women","4x100 m Medley S7-10","Gold","LOBENSTEIN Beate","GER",1992
"Women","4x100 m Medley S7-10","Gold","HENGST Claudia","GER",1992
"Women","4x100 m Medley S7-10","Silver","GULL Beverley","GBR",1992
"Women","4x100 m Medley S7-10","Silver","BISHOP Clare","GBR",1992
"Women","4x100 m Medley S7-10","Silver","BAILEY Sarah","GBR",1992
"Women","4x100 m Medley S7-10","Silver","SIMS Victoria","GBR",1992
"Women","4x100 m Medley S7-10","Bronze","CERDA Tania","ESP",1992
"Women","4x100 m Medley S7-10","Bronze","REINA Begona","ESP",1992
"Women","4x100 m Medley S7-10","Bronze","BERNARDO Ana","ESP",1992
"Women","4x100 m Medley S7-10","Bronze","VIVES Silvia","ESP",1992
"Women","4x100 m Medley B1-3","Gold","BROWN Donna","USA",1992
"Women","4x100 m Medley B1-3","Gold","ZORN Trischa","USA",1992
"Women","4x100 m Medley B1-3","Gold","SCHETTER Heidi","USA",1992
"Women","4x100 m Medley B1-3","Gold","SCOTT Elizabeth","USA",1992
"Women","4x100 m Medley B1-3","Silver","DANBY Janice","GBR",1992
"Women","4x100 m Medley B1-3","Silver","BYLES Louise","GBR",1992
"Women","4x100 m Medley B1-3","Silver","JONES Tracey","GBR",1992
"Women","4x100 m Medley B1-3","Silver","MILLAR Heather","GBR",1992
"Women","4x100 m Medley B1-3","Bronze","ROSS Marie Claire","CAN",1992
"Women","4x100 m Medley B1-3","Bronze","IRVINE Nancy","CAN",1992
"Women","4x100 m Medley B1-3","Bronze","QUALTROUGH Carla","CAN",1992
"Women","4x100 m Medley B1-3","Bronze","WEICKER Yvette","CAN",1992
"Men","50 m Freestyle S2","Gold","PEISAK Miroslaw","POL",1996
"Men","50 m Freestyle S2","Silver","ANDERSON James","GBR",1996
"Men","50 m Freestyle S2","Bronze","PEREIRA Adriano","BRA",1996
"Men","50 m Freestyle S3","Gold","EULERT Jaime","PER",1996
"Men","50 m Freestyle S3","Silver","BAKAEV Albert","RUS",1996
"Men","50 m Freestyle S3","Bronze","EDSTROM Petter","SWE",1996
"Men","50 m Freestyle S4","Gold","ORIBE Richard","ESP",1996
"Men","50 m Freestyle S4","Silver","PANCALLI Luca","ITA",1996
"Men","50 m Freestyle S4","Bronze","AKINOBU Aoki","JPN",1996
"Men","50 m Freestyle S5","Gold","FUERTES Juan","ESP",1996
"Men","50 m Freestyle S5","Silver","LUERIG Lars","GER",1996
"Men","50 m Freestyle S5","Bronze","SLECZKA Krzysztof","POL",1996
"Men","50 m Freestyle S6","Gold","ANDERSEN Peter Lund","DEN",1996
"Men","50 m Freestyle S6","Silver","KALE Duane","NZL",1996
"Men","50 m Freestyle S6","Bronze","DE LIMA Adriano","BRA",1996
"Men","50 m Freestyle S7","Gold","ALEXANDER Tony","CAN",1996
"Men","50 m Freestyle S7","Silver","LINDMANN Eric","FRA",1996
"Men","50 m Freestyle S7","Bronze","IGLESIAS Jesus","ESP",1996
"Men","50 m Freestyle S8","Gold","BROENDUM Emil","DEN",1996
"Men","50 m Freestyle S8","Silver","FYKAS Konstantinos","GRE",1996
"Men","50 m Freestyle S8","Bronze","KIMMIG Holger","GER",1996
"Men","50 m Freestyle S9","Gold","BURKETT Brendan","AUS",1996
"Men","50 m Freestyle S9","Silver","STURKENBOOM Rutger","NED",1996
"Men","50 m Freestyle S9","Bronze","ALICEA Luis","USA",1996
"Men","50 m Freestyle S10","Gold","DE GROOT Alwin","NED",1996
"Men","50 m Freestyle S10","Silver","LOEFFLER Stefan","GER",1996
"Men","50 m Freestyle S10","Bronze","BROCKENSHIRE Scott","AUS",1996
"Men","50 m Freestyle B1","Gold","KAWAI Junichi","JPN",1996
"Men","50 m Freestyle B1","Silver","COHEN Izhar","ISR",1996
"Men","50 m Freestyle B1","Bronze","KELLY Daniel","USA",1996
"Men","50 m Freestyle B2","Gold","HOLMES Christopher","GBR",1996
"Men","50 m Freestyle B2","Silver","CORRAL Pablo","ESP",1996
"Men","50 m Freestyle B2","Bronze","BETTER Ziv","ISR",1996
"Men","50 m Freestyle B3","Gold","KLEYNHANS Ebert","RSA",1996
"Men","50 m Freestyle B3","Silver","PEDERSEN Noel","NOR",1996
"Men","50 m Freestyle B3","Bronze","WU Walter","CAN",1996
"Men","50 m Freestyle MH","Gold","HOUTSMA Alwin","NED",1996
"Men","50 m Freestyle MH","Silver","FITZPATRICK Grant","AUS",1996
"Men","50 m Freestyle MH","Bronze","GROENEWALD Craig","RSA",1996
"Men","100 m Freestyle S2","Gold","ANDERSON James","GBR",1996
"Men","100 m Freestyle S2","Silver","MCGREGOR Alan","GBR",1996
"Men","100 m Freestyle S2","Bronze","PEREIRA Adriano","BRA",1996
"Men","100 m Freestyle S3","Gold","EDSTROM Petter","SWE",1996
"Men","100 m Freestyle S3","Silver","GUDMUNDSSON Palmar","ISL",1996
"Men","100 m Freestyle S3","Bronze","ANDRADE Genezi","BRA",1996
"Men","100 m Freestyle S4","Gold","ORIBE Richard","ESP",1996
"Men","100 m Freestyle S4","Silver","PANCALLI Luca","ITA",1996
"Men","100 m Freestyle S4","Bronze","PETERSSON John","DEN",1996
"Men","100 m Freestyle S4","Bronze","AKINOBU Aoki","JPN",1996
"Men","100 m Freestyle S5","Gold","FUERTES Juan","ESP",1996
"Men","100 m Freestyle S5","Silver","LUERIG Lars","GER",1996
"Men","100 m Freestyle S5","Bronze","SLECZKA Krzysztof","POL",1996
"Men","100 m Freestyle S6","Gold","KALE Duane","NZL",1996
"Men","100 m Freestyle S6","Silver","ANDERSEN Peter Lund","DEN",1996
"Men","100 m Freestyle S6","Bronze","PAVLINEC Danijel","SLO",1996
"Men","100 m Freestyle S7","Gold","LINDMANN Eric","FRA",1996
"Men","100 m Freestyle S7","Silver","ALEXANDER Tony","CAN",1996
"Men","100 m Freestyle S7","Bronze","ANDRYUSHIN Yuriy","UKR",1996
"Men","100 m Freestyle S8","Gold","BROENDUM Emil","DEN",1996
"Men","100 m Freestyle S8","Silver","KIMMIG Holger","GER",1996
"Men","100 m Freestyle S8","Bronze","HANSEN Kasper","DEN",1996
"Men","100 m Freestyle S9","Gold","ALICEA Luis","USA",1996
"Men","100 m Freestyle S9","Silver","STURKENBOOM Rutger","NED",1996
"Men","100 m Freestyle S9","Bronze","EIRIKSSON Olafur","ISL",1996
"Men","100 m Freestyle S10","Gold","DE GROOT Alwin","NED",1996
"Men","100 m Freestyle S10","Silver","LOEFFLER Stefan","GER",1996
"Men","100 m Freestyle S10","Bronze","ENGELSMAN Jurjen","NED",1996
"Men","100 m Freestyle B1","Gold","KAWAI Junichi","JPN",1996
"Men","100 m Freestyle B1","Silver","KELLY Daniel","USA",1996
"Men","100 m Freestyle B1","Bronze","REDDISH Tim","GBR",1996
"Men","100 m Freestyle B2","Gold","HOLMES Christopher","GBR",1996
"Men","100 m Freestyle B2","Silver","BUGARIN Kingsley","AUS",1996
"Men","100 m Freestyle B2","Bronze","BETTER Ziv","ISR",1996
"Men","100 m Freestyle B3","Gold","WU Walter","CAN",1996
"Men","100 m Freestyle B3","Silver","KLEYNHANS Ebert","RSA",1996
"Men","100 m Freestyle B3","Bronze","TCHESNOV Vladimir","RUS",1996
"Men","100 m Freestyle MH","Gold","HOUTSMA Alwin","NED",1996
"Men","100 m Freestyle MH","Silver","FITZPATRICK Grant","AUS",1996
"Men","100 m Freestyle MH","Bronze","GROENEWALD Craig","RSA",1996
"Men","200 m Freestyle S3","Gold","GUDMUNDSSON Palmar","ISL",1996
"Men","200 m Freestyle S3","Silver","EDSTROM Petter","SWE",1996
"Men","200 m Freestyle S3","Bronze","ANDRADE Genezi","BRA",1996
"Men","200 m Freestyle S4","Gold","ORIBE Richard","ESP",1996
"Men","200 m Freestyle S4","Silver","PANCALLI Luca","ITA",1996
"Men","200 m Freestyle S4","Bronze","THOMPSON James","USA",1996
"Men","200 m Freestyle S5","Gold","LUERIG Lars","GER",1996
"Men","200 m Freestyle S5","Silver","FUERTES Juan","ESP",1996
"Men","200 m Freestyle S5","Bronze","SLECZKA Krzysztof","POL",1996
"Men","200 m Freestyle S6","Gold","KALE Duane","NZL",1996
"Men","200 m Freestyle S6","Silver","ANDERSEN Peter Lund","DEN",1996
"Men","200 m Freestyle S6","Bronze","PAVLINEC Danijel","SLO",1996
"Men","400 m Freestyle S7","Gold","LINDMANN Eric","FRA",1996
"Men","400 m Freestyle S7","Silver","XHROUET Sebastian","BEL",1996
"Men","400 m Freestyle S7","Bronze","DELPY Frederic","FRA",1996
"Men","400 m Freestyle S8","Gold","WENING Jason","USA",1996
"Men","400 m Freestyle S8","Silver","KIMMIG Holger","GER",1996
"Men","400 m Freestyle S8","Bronze","BROENDUM Emil","DEN",1996
"Men","400 m Freestyle S9","Gold","TORNERO Enrique","ESP",1996
"Men","400 m Freestyle S9","Silver","ALICEA Luis","USA",1996
"Men","400 m Freestyle S9","Bronze","HALEY Andrew","CAN",1996
"Men","400 m Freestyle S10","Gold","DE GROOT Alwin","NED",1996
"Men","400 m Freestyle S10","Silver","LOEFFLER Stefan","GER",1996
"Men","400 m Freestyle S10","Bronze","WOODS Marc","GBR",1996
"Men","400 m Freestyle B2","Gold","HARDY Jeffrey","AUS",1996
"Men","400 m Freestyle B2","Silver","SEGARRA Francisco","ESP",1996
"Men","400 m Freestyle B2","Bronze","BUGARIN Kingsley","AUS",1996
"Men","400 m Freestyle B3","Gold","WU Walter","CAN",1996
"Men","400 m Freestyle B3","Silver","NIELSEN Ivan","DEN",1996
"Men","400 m Freestyle B3","Bronze","FOX Christopher","GBR",1996
"Men","50 m Backstroke S2","Gold","ANDERSON James","GBR",1996
"Men","50 m Backstroke S2","Silver","PIESAK Miroslaw","POL",1996
"Men","50 m Backstroke S2","Bronze","MCGREGOR Alan","GBR",1996
"Men","50 m Backstroke S3","Gold","BAKAEV Albert","RUS",1996
"Men","50 m Backstroke S3","Silver","BADIE Claude","FRA",1996
"Men","50 m Backstroke S3","Bronze","EDSTROM Petter","SWE",1996
"Men","50 m Backstroke S4","Gold","PANCALLI Luca","ITA",1996
"Men","50 m Backstroke S4","Silver","BELLOT Pierre","FRA",1996
"Men","50 m Backstroke S4","Bronze","LAUFENBERG Craig","USA",1996
"Men","50 m Backstroke S5","Gold","VERECZKEI Zsolt","HUN",1996
"Men","50 m Backstroke S5","Silver","ATTIA Essam","EGY",1996
"Men","50 m Backstroke S5","Bronze","PINARD Pascal","FRA",1996
"Men","100 m Backstroke S6","Gold","ZHU Weiming","CHN",1996
"Men","100 m Backstroke S6","Silver","BURNS Gregory","USA",1996
"Men","100 m Backstroke S6","Bronze","KALE Duane","NZL",1996
"Men","100 m Backstroke S7","Gold","LINDMANN Eric","FRA",1996
"Men","100 m Backstroke S7","Silver","LINDSAY Andrew","GBR",1996
"Men","100 m Backstroke S7","Bronze","KIM Soo Bok","KOR",1996
"Men","100 m Backstroke S8","Gold","KIMMIG Holger","GER",1996
"Men","100 m Backstroke S8","Silver","HANSEN Kasper","DEN",1996
"Men","100 m Backstroke S8","Bronze","JAEHRIG Geert","GER",1996
"Men","100 m Backstroke S9","Gold","BJOERNSTAD Helge","NOR",1996
"Men","100 m Backstroke S9","Silver","MALONE David","IRL",1996
"Men","100 m Backstroke S9","Bronze","SCHMIDT Detlef","GER",1996
"Men","100 m Backstroke S10","Gold","DE GROOT Alwin","NED",1996
"Men","100 m Backstroke S10","Silver","WOODS Marc","GBR",1996
"Men","100 m Backstroke S10","Bronze","ENGELSMAN Jurjen","NED",1996
"Men","100 m Backstroke B1","Gold","KELLY Daniel","USA",1996
"Men","100 m Backstroke B1","Silver","KAWAI Junichi","JPN",1996
"Men","100 m Backstroke B1","Bronze","GUNNARSSON Birkir","ISL",1996
"Men","100 m Backstroke B2","Gold","HOLMES Christopher","GBR",1996
"Men","100 m Backstroke B2","Silver","SEGARRA Francisco","ESP",1996
"Men","100 m Backstroke B2","Bronze","BETTER Ziv","ISR",1996
"Men","100 m Backstroke B3","Gold","WU Walter","CAN",1996
"Men","100 m Backstroke B3","Silver","PEDERSEN Noel","NOR",1996
"Men","100 m Backstroke B3","Bronze","LENTINK Jurgen","NED",1996
"Men","50 m Breaststroke SB2","Gold","THOMPSON James","USA",1996
"Men","50 m Breaststroke SB2","Silver","KRISANOVIC Nenad","YUG",1996
"Men","50 m Breaststroke SB2","Bronze","ZATKO Andrej","SVK",1996
"Men","50 m Breaststroke SB3","Gold","FRITSCHE Christian","GER",1996
"Men","50 m Breaststroke SB3","Silver","PETERSSON John","DEN",1996
"Men","50 m Breaststroke SB3","Bronze","HARRIS Garth","CAN",1996
"Men","100 m Breaststroke SB4","Gold","PINARD Pascal","FRA",1996
"Men","100 m Breaststroke SB4","Silver","TEN Ricardo","ESP",1996
"Men","100 m Breaststroke SB4","Bronze","VASCONCELOS Ivanildo","BRA",1996
"Men","100 m Breaststroke SB5","Gold","ENGEL Kasper","NED",1996
"Men","100 m Breaststroke SB5","Silver","SLATTERY Tadhg","RSA",1996
"Men","100 m Breaststroke SB5","Bronze","PAULSON Aaron","USA",1996
"Men","100 m Breaststroke SB6","Gold","IGLESIAS Jesus","ESP",1996
"Men","100 m Breaststroke SB6","Silver","BIDOIS Aaron","NZL",1996
"Men","100 m Breaststroke SB6","Bronze","SCHLUBECK Matthias","GER",1996
"Men","100 m Breaststroke SB7","Gold","GONG Baoren","CHN",1996
"Men","100 m Breaststroke SB7","Silver","KINDRED Sascha","GBR",1996
"Men","100 m Breaststroke SB7","Bronze","VAN GEEL Laurentius","NED",1996
"Men","100 m Breaststroke SB8","Gold","ULVANG Rune","NOR",1996
"Men","100 m Breaststroke SB8","Silver","BJOERNSTAD Helge","NOR",1996
"Men","100 m Breaststroke SB8","Bronze","GUO Yongzhong","CHN",1996
"Men","100 m Breaststroke SB9","Gold","ENGELSMAN Jurjen","NED",1996
"Men","100 m Breaststroke SB9","Silver","DE GROOT Alwin","NED",1996
"Men","100 m Breaststroke SB9","Bronze","BESTUCHEV Sergey","RUS",1996
"Men","100 m Breaststroke SB10","Gold","LOEFFLER Stefan","GER",1996
"Men","100 m Breaststroke SB10","Silver","KJELLQVIST Tomas","SWE",1996
"Men","100 m Breaststroke SB10","Bronze","KOFLER Mario","GER",1996
"Men","100 m Breaststroke B1","Gold","BUNDGAARD Christian","DEN",1996
"Men","100 m Breaststroke B1","Silver","KELLY Daniel","USA",1996
"Men","100 m Breaststroke B1","Bronze","LAGSANAPRIM Panom","THA",1996
"Men","100 m Breaststroke B2","Gold","BUGARIN Kingsley","AUS",1996
"Men","100 m Breaststroke B2","Silver","ARRIBAS Jose","ESP",1996
"Men","100 m Breaststroke B2","Bronze","KRYLOV Vitali","RUS",1996
"Men","100 m Breaststroke B3","Gold","PEDERSEN Noel","NOR",1996
"Men","100 m Breaststroke B3","Silver","NIELSEN Ivan","DEN",1996
"Men","100 m Breaststroke B3","Bronze","LENTINK Jurgen","NED",1996
"Men","200 m Breaststroke B2","Gold","BUGARIN Kingsley","AUS",1996
"Men","200 m Breaststroke B2","Silver","BUNDGAARD Christian","DEN",1996
"Men","200 m Breaststroke B2","Bronze","KRYLOV Vitali","RUS",1996
"Men","200 m Breaststroke B3","Gold","PEDERSEN Noel","NOR",1996
"Men","200 m Breaststroke B3","Silver","NIELSEN Ivan","DEN",1996
"Men","200 m Breaststroke B3","Bronze","NEFEDOV Andrei","RUS",1996
"Men","50 m Butterfly S3","Gold","ZATKO Andrej","SVK",1996
"Men","50 m Butterfly S3","Silver","CAIRNS Kenneth","GBR",1996
"Men","50 m Butterfly S3","Bronze","GIAPOUTZIS Antonios","GRE",1996
"Men","50 m Butterfly S4","Gold","PANCALLI Luca","ITA",1996
"Men","50 m Butterfly S4","Silver","FRITSCHE Christian","GER",1996
"Men","50 m Butterfly S4","Bronze","PETERSSON John","DEN",1996
"Men","50 m Butterfly S5","Gold","BUTLER Daniel","USA",1996
"Men","50 m Butterfly S5","Silver","MAO Qiwen","CHN",1996
"Men","50 m Butterfly S5","Bronze","PINARD Pascal","FRA",1996
"Men","50 m Butterfly S6","Gold","KALE Duane","NZL",1996
"Men","50 m Butterfly S6","Silver","XIA Kai","CHN",1996
"Men","50 m Butterfly S6","Bronze","ANDERSEN Peter Lund","DEN",1996
"Men","50 m Butterfly S7","Gold","MEDEIROS Jose Arnulfo","BRA",1996
"Men","50 m Butterfly S7","Silver","KUNZI Daniel","SUI",1996
"Men","50 m Butterfly S7","Bronze","ABD ELKADER Walid","EGY",1996
"Men","100 m Butterfly S8","Gold","LONG Giles","GBR",1996
"Men","100 m Butterfly S8","Silver","BROENDUM Emil","DEN",1996
"Men","100 m Butterfly S8","Bronze","TERBLANCHE J.","RSA",1996
"Men","100 m Butterfly S9","Gold","EIRIKSSON Olafur","ISL",1996
"Men","100 m Butterfly S9","Silver","KAPOURA Aleksei","RUS",1996
"Men","100 m Butterfly S9","Bronze","HALEY Andrew","CAN",1996
"Men","100 m Butterfly S10","Gold","CUNDY Jody","GBR",1996
"Men","100 m Butterfly S10","Silver","DE GROOT Alwin","NED",1996
"Men","100 m Butterfly S10","Bronze","BROCKENSHIRE Scott","AUS",1996
"Men","100 m Butterfly B2","Gold","HARDY Jeffrey","AUS",1996
"Men","100 m Butterfly B2","Silver","BUGARIN Kingsley","AUS",1996
"Men","100 m Butterfly B2","Bronze","KELLY Daniel","USA",1996
"Men","100 m Butterfly B3","Gold","WU Walter","CAN",1996
"Men","100 m Butterfly B3","Silver","SHARPE Ian","GBR",1996
"Men","100 m Butterfly B3","Bronze","NIELSEN Ivan","DEN",1996
"Men","150 m Medley SM3","Gold","EDSTROM Petter","SWE",1996
"Men","150 m Medley SM3","Silver","ANDRADE Genezi","BRA",1996
"Men","150 m Medley SM3","Bronze","SANDVIK Stig Morten","NOR",1996
"Men","150 m Medley SM4","Gold","TORRES Javier","ESP",1996
"Men","150 m Medley SM4","Silver","SLECZKA Krzyzstof","POL",1996
"Men","150 m Medley SM4","Bronze","PETERSSON John","DEN",1996
"Men","200 m Medley SM5","Gold","PAWLOWSKI Arkadiusz","POL",1996
"Men","200 m Medley SM5","Silver","PINARD Pascal","FRA",1996
"Men","200 m Medley SM5","Bronze","ANDERSEN Peter Lund","DEN",1996
"Men","200 m Medley SM6","Gold","KALE Duane","NZL",1996
"Men","200 m Medley SM6","Silver","XHROUET Sebastian","BEL",1996
