11;"Samantha Toet";"R in Pharma with ProCogia X-Session Recordings are Now Available";"2021-03-16"
11;"Samantha Toet";"Mastering Shiny with Appsilon X-Session Recordings are Now Available";"2021-03-15"
11;"Lou Bajuk";"BI and Open Source Data Science: Strengths and Challenges";"2021-03-11"
12;"Hadley Wickham";"testthat 0.8 (and 0.8.1)";"2014-02-25"
12;"Hadley Wickham";"dplyr 0.1.1";"2014-01-30"
12;"Hadley Wickham";"roxygen2 3.1.0";"2014-01-30"
12;"Hadley Wickham";"Introducing dplyr";"2014-01-17"
12;"Hadley Wickham";"roxygen2 3.0.0";"2013-12-09"
12;"RStudio Team";"New Version of RStudio (v0.98)";"2013-12-03"
12;"RStudio Team";"Shiny Server 0.4";"2013-12-03"
12;"Hadley Wickham";"Upcoming courses: Dec 2013";"2013-12-02"
12;"Hadley Wickham";"devtools 1.4 now available";"2013-11-27"
12;"Joe Cheng";"Shiny 0.8.0 released; Yihui Xie joins RStudio";"2013-11-15"
13;"Mine Çetinkaya-Rundel";"Time to get your Shiny on, Shiny Contest 2021 is here!";"2021-03-11"
13;"Ricardo Andrade and Nathan Stephens";"RStudio Professional Drivers 1.7.0";"2021-03-10"
13;"Lou Bajuk";"BI and Data Science: The Best of Both Worlds";"2021-03-04"
13;"Akosua Boateng";"Summer Internships 2021";"2021-03-02"
13;"Maria Semple";"Introducing the RStudio Launcher Plugin SDK";"2021-02-23"
13;"Winston Chang and Nick Strayer";"Introducing Shiny App Stories";"2021-02-12"
13;"Alex K Gold";"Painful Package Management";"2021-02-11"
13;"Alex K Gold";"The Package Management Prime Directive";"2021-02-05"
13;"Robby Shaver";"What's New on RStudio Cloud - February 2021";"2021-02-04"
13;"Carl Howe";"Enjoy More Rstudio::global(2021)";"2021-02-01"
14;"Garrett Grolemund";"New Shiny article: Style your apps with CSS";"2014-05-07"
14;"Garrett Grolemund";"Announcing RStudio Shiny Server Pro v1.1";"2014-05-07"
14;"Garrett Grolemund";"Announcing our new training web pages";"2014-05-07"
14;"Garrett Grolemund";"devtools 1.5";"2014-05-07"
14;"Garrett Grolemund";"Introduction to Data Science with R, April 28-29 San Francisco";"2014-05-07"
14;"Garrett Grolemund";"New Shiny website launched; Shiny 0.9 released";"2014-05-07"
14;"Garrett Grolemund";"httr 0.3";"2014-05-07"
14;"Garrett Grolemund";"http://api.stackexchange.com""";"2014-05-07"
14;"Garrett Grolemund";"dplyr 0.1.3";"2014-05-07"
14;"Garrett Grolemund";"Announcing Shiny Server Pro general availability";"2014-05-07"
14;"Garrett Grolemund";"dplyr 0.1.2";"2014-05-07"
15;"Carson Sievert, Winston Chang, and Barret Schloerke";"Shiny 1.6";"2021-02-01"
15;"Carl Howe";"rstudio::global(2021) Starts Tomorrow!";"2021-01-20"
15;"Lou Bajuk";"2020 at RStudio: A Year in Review";"2021-01-19"
15;"Daniel Petzold and Carl Howe";"Announcing RStudio 1.4";"2021-01-19"
15;"Alison Hill, Christophe Dervieux, Yihui Xie";"Announcing blogdown v1.0";"2021-01-18"
15;"Lou Bajuk";"RStudio: A Single Home for R and Python Data Science";"2021-01-13"
15;"Kelly O'Briant";"Shiny Server 1.5.16 Update";"2021-01-13"
15;"Samantha Toet";"X-Sessions at rstudio::global";"2021-01-11"
15;"Carl Howe";"Last Call for the 2020 R Community Survey";"2021-01-07"
15;"Carl Howe";"Custom Google Analytics Dashboards with R: Building The Dashboard";"2021-01-06"
16;"Roger Oberg";"Come see RStudio at UseR! 2014";"2014-06-24"
16;"Winston Chang";"Introducing ggvis";"2014-06-23"
16;"Joe Cheng";"Shiny 0.10";"2014-06-20"
16;"Garrett Grolemund";"Interactive documents: An incredibly easy way to use Shiny";"2014-06-19"
16;"RStudio Team";"New Version of RStudio: R Markdown v2 and More";"2014-06-18"
16;"Yihui Xie";"R Markdown v2";"2014-06-18"
16;"Garrett Grolemund";"Comment sections and help instructions at the Shiny Dev Center";"2014-05-28"
16;"Hadley Wickham";"dplyr 0.2";"2014-05-21"
16;"Hadley Wickham";"roxygen2 4.0.1";"2014-05-19"
16;"Hadley Wickham";"reshape2 1.4; Kevin Ushey joins Rstudio";"2014-05-09"
17;"Art Steinmetz";"Exploring US COVID-19 Cases and Deaths";"2020-12-23"
17;"Rich Iannone and Curtis Kephart";"Winners of the 2020 RStudio Table Contest";"2020-12-23"
17;"Alison Hill, Christophe Dervieux, Yihui Xie";"Latest News from the R Markdown Family";"2020-12-21"
